IPC maingroup,Label
A01K-005,가축/사냥감용 사료 공급기
A01K-051,벌통 취급용구
A01K-053,양봉용 사료 공급/급수용구
A01K-055,양봉 훈연기
A01K-057,분봉 보조용구
A01K-059,봉밀 채집
A01K-061,수생 동물 양식
A01K-063,활어용기
A01K-065,자어구
A01K-067,기타 동물 사육/번식
A01K-069,어업용 정치식 포획구
A01K-007,가축용/조수용 급수구
A01K-071,어업 부망
A01K-073,어업 인망
A01K-074,어업용 기타 포획망
A01K-075,어업용 망 부속품
A01K-077,어업용 양륙망
A01K-079,기타 다량 어획법
A01K-080,굴/패류/해면 채취
A01K-081,발사체 사용 어로
A01K-083,낚시바늘
A01K-085,어업용 인공낚시밥
A01K-087,낚시대
A01K-089,낚시릴
A01K-009,유가축용 수유용구
A01K-091,낚시줄
A01K-093,낚시찌
A01K-095,낚시추
A01K-097,낚시용 부속구
A01K-099,기타 어업 방법/장치
A01L-001,단제동물용 편자
A01L-011,편자제작용 도구
A01L-013,편자 삽입용 우리
A01L-015,발굽 보호용 도구/물질
A01L-003,못 고정구 무관 편자
A01L-005,탄성재료 기반 말편자
A01L-007,동물 장제부속구
A01L-009,기타 동물용 편자
A01M-001,곤충 포획/살충 장치
A01M-011,기타 동물 포획용 액체/분말 산포기 결합 장치
A01M-013,훈증기
A01M-015,기타 동물 포획용 화염방사기
A01M-017,토양중/식품재료중 해충 구제장치
A01M-019,열탕/증기/열풍/전기 방식 곤충 이외 유해동물 구제
A01M-021,불요식물 제초장치
A01M-023,동물용 덫
A01M-025,동물 독물 장치
A01M-027,동물 살상용 발사장치
A01M-029,동물 위협/퇴치 장치
A01M-003,곤충 포획/살충 수동기구
A01M-031,수렵용구
A01M-005,가동 장치 방식 곤충 포획
A01M-007,기타 액체 산포기
A01M-009,기타 분말 산포기
A01M-099,기타 동물 포획 장치
A01N-001,인간/동물 보존
A01N-025,생물 산화물/해충 퇴치제/식물 성장 조절기
A01N-027,탄화수소 함유 살생물제
A01N-029,할로겐화 탄화수소 함유 살생물제
A01N-003,식물 보존
A01N-031,유기산 포함 살생물제
A01N-033,유기질소화합물 포함 살생물제
A01N-035,알데히드기 포함 살생물제
A01N-037,카르복실산 유도체 포함 살생물제
A01N-039,아릴옥시 화합물 살생물제
A01N-041,유황원자 포함 살생물제
A01N-043,복소환식 화합물 함유 살생물제
A01N-045,3개 이상 탄소환 함유 살생물제
A01N-047,탄산 유도체 함유 살생물제
A01N-049,곤충호르몬 살생물제
A01N-051,ONS기 함유 살생물제
A01N-053,시클로프로판 함유 살생물제
A01N-055,기타 유기화합물 함유 살생물제
A01N-057,유기인 화합물 함유 살생물제
A01N-059,원소/무기화합물 함유 살생물제
A01N-061,조성불명 살생물제
A01N-063,미생물/바이러스/곰팡이/동물 함유 살생물제
A01N-065,조류/지의류/선태류/다세포균류/식물 함유 살생물제
A01P-001,살균제
A01P-011,쥐약
A01P-013,제초제
A01P-015,특수 목적 살생물제
A01P-017,유해 생물 기피제
A01P-019,유해 생물 유인제
A01P-021,식물 생장 조절제
A01P-023,화학 불임제
A01P-003,항진균제
A01P-005,살선충제
A01P-007,살절족동물제
A01P-009,살연체동물제
A21B-001,제빵용 오븐
A21B-002,고주파/적외선 가열 방식 제빵 장치
A21B-003,오븐 부품
A21B-005,특수제품용 제빵 장치
A21B-007,제빵 설비
A21C-001,가루반죽 준비용 혼합 기계
A21C-011,반죽 성형 기타 기계
A21C-013,프로버
A21C-014,기타 반죽 제조 기계
A21C-015,빵 취급 장치
A21C-003,가루반죽 배치 형성장치
A21C-005,반죽 분할기계
A21C-007,반죽 균질화 기계
A21C-009,반죽 취급 기타 장치
A21D-010,제빵 전 가루/반죽
A21D-013,반죽 처리 완성 생산물
A21D-015,빵류 저장
A21D-017,빵류 신선도 유지
A21D-002,제빵 첨가 방식 반죽 처리
A21D-004,불활성 공기 내 반죽 보존
A21D-006,제빵 전 반죽 기타 처리
A21D-008,반죽 준비/굽기 방법
A22B-001,도살 동물 속박 장치
A22B-003,도살/기절 방법
A22B-005,도살 부속구
A22B-007,도살장 설비
A22C-011,소시지 제조
A22C-013,소시지 포장
A22C-015,식육/소시지 의탁 장치
A22C-017,식육/뼈 가공 기타 기구
A22C-018,식육가공 공장
A22C-021,가금류 가공
A22C-025,어류 가공
A22C-029,패류 가공
A22C-005,식육 혼합장치
A22C-007,식육 압축장치
A22C-009,식육 연화 장치
A23B-004,식육 보존방법
A23B-005,알/난 보존
A23B-007,과일 보존
A23B-009,식용종자 보존
A23C-001,유제품 농축
A23C-011,우유 대용품 조성물
A23C-013,크림 제조
A23C-015,버터
A23C-017,버터 밀크
A23C-019,치즈 제조
A23C-020,치즈 대용품
A23C-021,유장
A23C-023,기타 유제품
A23C-003,유제품 보존
A23C-007,기타 유가공 기술
A23C-009,유제품/분유/아이스크림
A23D-007,수성상 함유 식용유지 조성물
A23D-009,기타 식용유지
A23F-003,차 조제
A23F-005,커피
A23G-001,코코아
A23G-003,당과/과자/마지빵
A23G-004,츄잉 껌
A23G-007,초콜렛 공업용 기타 장치
A23G-009,냉동과자
A23J-001,식품용 단백질 조성물 획득
A23J-003,식품용 혼합 단백질
A23J-007,식품용 인지질 조성물
A23K-001,사료
A23K-010,사료
A23K-020,동물 사료용 식품계수
A23K-003,동물 먹이 생산용 원료 보존 처리
A23K-030,동물 사료 생산용 물질 보존 공정
A23K-040,동물 사료 형성
A23K-050,특정 동물용 사료
A23L-001,식품 조제/처리
A23L-011,식품 생산용 두류 처리
A23L-013,육류 제품
A23L-015,난 제품
A23L-017,해산물 식품
A23L-019,과일/채소 생산물
A23L-002,비알코올성 음료
A23L-021,마멀레이드 조제
A23L-023,스프
A23L-025,견과 식품
A23L-027,향신료
A23L-029,첨가제 함유 식품 조제/처리
A23L-003,식품 보존
A23L-031,균류 식용 추출
A23L-033,식품 영양개선
A23L-035,기타 식품 처리
A23L-005,식품/사료 조제/처리
A23L-007,곡류 파생 물질/엿기름
A23L-009,푸딩
A23N-001,주스 추출 기계
A23N-011,줄기 고갱이 제거
A23N-012,과일 세정 기계
A23N-015,과일 식용 처리 기계
A23N-017,사료 준비 장치
A23N-003,과일 심 제거 기계
A23N-004,과일 씨 함유 부분 제거 기계
A23N-005,견과 외피 제거 기계
A23N-007,채소 박피 기계
A23P-001,식품 재료 성형
A23P-010,특정 식료품 제품 성형
A23P-020,식료품 피복
A23P-030,특정 공정 식료품 성형
A24B-001,재배지 담배 처리
A24B-011,담배 말이 기계
A24B-013,파이프 담배
A24B-015,담배 화학 처리
A24B-003,공장 담배 잎 처리
A24B-005,담배 잎 줄기 제거
A24B-007,담배 잎 썰기
A24B-009,담배제품 수분량 조정
A24C-001,엽권담배 제조요소
A24C-003,엽권담배 완성공정
A24C-005,지권담배 제조
A24D-001,엽권담배
A24D-003,담배 연기 필터
A24F-001,담배 파이프
A24F-011,담배 파이프 조미
A24F-013,엽권담배 흡연용구
A24F-015,엽권담배/가상 흡연장치용 용기
A24F-017,지권담배용 종이용 용기
A24F-019,재떨이
A24F-021,흡연용구 스탠드
A24F-023,담배 케이스
A24F-025,담배 수분량 조정 장치
A24F-027,성냥용기
A24F-029,성냥 발화장치
A24F-003,기타 물품 결합 담배파이프
A24F-031,파이프 점화용 심
A24F-040,전기식 흡연 장치
A24F-042,전기식 외 가상 흡연 장치
A24F-047,기타 흡연자 용구
A24F-005,파이프용 대통
A24F-007,파이프용 마우스피스
A24F-009,흡연 파이프용 부속품
A41B-001,셔츠
A41B-011,양말
A41B-013,유아용 린네르
A41B-015,손수건
A41B-017,속옷용 재료
A41B-003,칼라
A41B-005,칼라/카프트 접지선
A41B-007,커프스
A41B-009,내의류
A41C-001,코르셋
A41C-003,브래지어
A41C-005,코르셋/브래지어 제조방법
A41D-001,의복
A41D-010,파자마/잠옷
A41D-011,어린이옷
A41D-013,전문가용 보호복
A41D-015,전환 의복
A41D-017,각반
A41D-019,장갑
A41D-020,손목 밴드
A41D-023,스카프
A41D-025,넥타이
A41D-027,의복 세부 구성
A41D-029,제복
A41D-003,외투
A41D-031,외투용 재료
A41D-005,모피복
A41D-007,수영복
A41F-001,의복 고정구
A41F-011,양말/스타킹 걸이구
A41F-013,스타킹 고정구
A41F-015,어깨끈
A41F-017,의복 유지수단
A41F-018,의복 걸이구
A41F-019,기타 의복 걸이구
A41F-003,바지걸이
A41F-005,셔츠 부착 바지지지구
A41F-007,바지/속바지 결합구
A41F-009,바지/스커트 벨트
A41G-001,인조화
A41G-011,인조깃털
A41G-003,가발
A41G-005,두발편/장입물
A41G-007,가면
A41G-009,천연깃털 세공방법
A41H-001,치수 재기 보조구/방법
A41H-011,투사/복사장치
A41H-015,천/옷감 유지구
A41H-017,바늘/핀용 방석/골무
A41H-019,바늘/핀 상자
A41H-021,가봉용 인대 지지구
A41H-023,분필 사용 용구
A41H-025,단추 구멍 생성 기구/방법
A41H-027,접착제
A41H-003,재단용 틀
A41H-031,바느질 보조구
A41H-033,칼라/소매 절첩 기계
A41H-037,고정구 부착 기계/방법
A41H-041,천연/인조모피 의복 제조기계
A41H-042,의복제조용 다단계 제조라인
A41H-043,기타 의복제조 기구/방법
A41H-005,의복형상/상반신형상/받침대
A41H-009,의복 가장자리 정리수단
A42B-001,모자/캡/두건
A42B-003,헬멧/헬멧커버
A42B-005,면사포/면사포 지지구
A42B-007,머리 덮개 고정수단
A42C-001,모자 제조방법
A42C-002,기타 헬멧제조방법
A42C-003,기타 모자 제조장치
A42C-005,모자 부속품
A42C-099,기타 모자 주제 기술
A43B-001,재료 특징 신발
A43B-011,신발 착탈용 장치
A43B-013,신발안창
A43B-015,신발용 세혁
A43B-017,안창
A43B-019,신발 형상 장입물
A43B-021,뒤축/신발끝
A43B-023,갑피/보강구/신발부품
A43B-003,형상/용도 특징 신발
A43B-005,스포츠용 신발
A43B-007,위생용 부속구 포함 신발
A43B-009,부분 특징 신발
A43C-001,구두끈
A43C-011,신발용 조임구
A43C-013,내마모용 부속물
A43C-015,미끄럼 방지구
A43C-017,등산용 징
A43C-019,기타 신발 부속품
A43C-003,구두끈용 훅/훅용 보호구
A43C-005,끈 구멍 생성 기계
A43C-007,구두끈 유지구
A43C-009,구두끈
A43D-001,발/신발/구두부품 측정장치
A43D-100,구멍/단추/훅 탈부착 기계
