IPC maingroup,Label
B24B-021,연삭/연마 벨트 사용 기계 장치
B24B-023,휴대용 연삭 기계
B24B-025,만능 연삭기
B24B-027,기타 연삭기/장치
B24B-029,연마제 관련 유연/가요성 공구 기반 공작물 표면 연마 기계
B24B-003,날연삭 공구/부속장치
B24B-031,공작물/연삭 입자 유동형 수입 텀블링 장치/광택 장치
B24B-033,호우닝 기계/부속 장치
B24B-035,공작물 표면 수퍼 피니핑
B24B-037,래핑 장치/부속 장치
B24B-039,버니싱 장치
B24B-041,프레임/베드/왕복대/주축대 등 연삭기계/장치 구성 부분
B24B-045,회전축 그라인딩휠 고정 수단
B24B-047,연삭 기계 구동/전동 장치
B24B-049,연삭 도구/공작물 이송운동 제어/계측 장치
B24B-005,인접 평면 연삭 포함 공작물 회전 표면 연삭용 장치
B24B-051,공작물 연삭 가공 공정 자동 제어 장치
B24B-053,연삭체 면 드레싱 장치
B24B-055,연삭/연마 기계 안전 장치
B24B-057,연삭/연마/래핑제 공급/적용/등급 구분
B24B-007,평면 유리면 포함 공작물 평면 연삭용 기계/장치
B24B-009,공작물 경사면/말단부 연삭/연삭 흔적 제거용 장치
B24C-001,특수 효과용 지립 블라스팅 사용 방법
B24C-011,지립 블래스팅 연삭재 선별
B24C-003,지립 블라스팅기계/장치
B24C-005,지립 블래스팅 장치/부속장치
B24C-007,연삭제 공급 장치/지립 블래스팅 유동성
B24C-009,지립 블래스팅 기계 부속물
B24D-011,가요성 연마소재 구조적 특징
B24D-013,유연 작용 각오부 포함 연마차
B24D-015,비회전 연마/연삭/가죽연마용 수공구
B24D-017,기타 연마/연삭공구
B24D-018,기타 연삭 공구 제조
B24D-003,연마체/연마 시트 물리적 특징
B24D-005,원주면 가공 결합재 결합 숫돌차
B24D-007,비원주면 가공 숫돌차
B24D-009,가요성 연마 소재 일층 교환 가능 휠/드럼
B24D-099,기타 그라인딩/버핑/날연삭
B25B-001,바이스
B25B-011,기타 공작물 보지구/위치 결정구
B25B-013,스패너/렌치
B25B-015,스크류 드라이버
B25B-017,수동 치차 구동 렌치/스크류 드라이버
B25B-019,임팩트 렌치/스크류드라이버
B25B-021,휴대 가능 동력 구동나사/너트 체결/이완 공구
B25B-023,스패너/렌치/스크류드라이버 세부/부속구
B25B-025,와이어/대금 고착/연결/인장용 기구
B25B-027,변형 수반/배제 부품 동비 분리용 기타 수송구
B25B-028,휴대 가능 동력 구동 접합/분리 공구
B25B-029,스패너/렌치/스크류드라이버 부속구
B25B-003,손바이스 
B25B-031,죔쇠 적용 수공구
B25B-033,기타 수공구
B25B-005,클램프
B25B-007,플라이어/피봇 아암식 수공구 세부
B25B-009,기타 수동 조임구
B25C-001,휴대 가능 수동식 못박기 공구
B25C-011,못/스파이크/스테이플 제거 공구
B25C-013,못 굽힘 방지 기구
B25C-003,못 고정/안내 휴대 가능 기구/못 분배기
B25C-005,휴대 가능 수동 스테이플러/휴대 가능 동력 구동식 스테이플러
B25C-007,못박기 공구용/스테이플러용 부속구
B25C-009,못질용 펀치
B25D-001,손해머/특수형/재질 해머 머리
B25D-011,전동기 구동 기반 휴대용 충격 공구
B25D-013,전자기 구동 기반 휴대용 충격 공구
B25D-015,원심력 충격 부재/회전 충격 부재 사용 휴대용 충격 공구
B25D-016,회전 부가 휴대용 충격 공구
B25D-017,휴대용 동력 충격 공구 세부/부속구
B25D-003,손끝
B25D-005,센터 펀치
B25D-007,픽
B25D-009,유체압 구동 기반 휴대용 충격 공구
B25F-001,조합/다목적 공구
B25F-003,단일 휴대가능 동력 구동 장치-작업공구 조합
B25F-005,작업 종류 무관 휴대용 동력 구동 공구 세부 요소
B25G-001,수공구 자루 구조
B25G-003,도구 고정 수공구 자루
B25H-001,공장 작업대
B25H-003,공작물/공구/기구 접근 용이 작업용 저장 수단/장치
B25H-005,차량 조함 공구/기구 보지수단/저장수단
B25H-007,금긋기/측정 작업
B25J-001,수동 메니플레이터
B25J-011,기타 메니플레이터
B25J-013,메니플레이터 제어
B25J-015,메니플레이터 손잡이부
B25J-017,메니플레이터 접속부
B25J-018,메니플레이터 아암
B25J-019,메니플레이터 적합 부속 장치
B25J-021,메니플레이터 장치 포함 실
B25J-003,주종형 메니플레이터
B25J-005,차/휠 설치 메니플레이터
B25J-007,마이크로 메니플레이터
B25J-009,프로그램 제어 메니플레이터
B26B-001,조정 가능 날 포함 수동 나이프/포켓 나이프
B26B-011,타 도구 결합 수동 나이프
B26B-013,수동 전단기 가위
B26B-015,모터 구동 날 포함 수동 전단기
B26B-017,접촉 2개 죠오 포함 휴대용 절단 공구
B26B-019,복수 절단날 포함 이발기/면도기
B26B-021,칼집 미포함/나이프형 면도칼 및 안전 면도칼/대패형 면도구 및 면도날 조합 이발 장치 및 부속구
B26B-023,도끼/손도끼
B26B-025,원판형 날 포함 수동 절단 공구
B26B-027,기타 소지 절단 공구
B26B-029,수동 절단 공구 보호구/칼집
B26B-003,고정 칼날 포함 수동 나이프
B26B-005,단일/복수 가분리 날 포함 수동 나이프
B26B-007,모터 구동 왕복운동 날 포함 수동 나이프
B26B-009,수동 나이프 날
B26D-001,특정 절단날부 종류/동작 피가공재 절단
B26D-011,복수 유사 절단 장치 조합 절단
B26D-003,절단 작업 절단 가공 종류
B26D-005,절단/잘라뽑기/형뽑기/펀칭/구멍 뚫기 이외 절단 장치 제어
B26D-007,절단/잘라뽑기/형빼기/펀칭/구멍뚫기 외 수단 기반 절단 장치 세부
B26D-009,펀칭/구멍 뚫기 장치/비유사 절단 장치 조합 절단 장치
B26F-001,구멍 뚫기/펑칭/잘라뽑기 및 그 장치
B26F-003,절단날 외 수단 기반 절단
B27B-001,나무 가지/통나무 톱켜기 기반 세분
B27B-011,가로켜기용 왕복동 톱 동력 구동
B27B-013,기계 띠톱
B27B-015,통나무 세로켜기용 기계 띠톱
B27B-017,체인톱
B27B-019,왕복동 톱 기타 동력 구동
B27B-021,동력 구동 미포함 수동톱
B27B-023,비회전 공구 기반 목재 절단
B27B-025,기계톱 목재 이송 장치
B27B-027,기계톱 목재 안내판/맞대기판
B27B-029,기계톱 나무가지/통나무 고정 클램프/보지 장치
B27B-003,세로 켜기 기계톱
B27B-031,기계톱용 통나무/목재 운반/적재/전동/조절/해체장치
B27B-033,기계톱용 톱켜기 공구
B27B-005,둥근 톱날 포함 기계톱
B27B-007,통나무 세로켜기용 둥근 톱날 포함 기계톱
B27B-009,수동 조작 휴대용 동력 둥근 톱
B27C-001,평탄한 표면 제작용 기계
B27C-003,드릴링 머시인/드릴링 장치
B27C-005,특수 외형 가공/특수 성형 공작물 가공용 기계
B27C-007,목공선반
B27C-009,다목적 가공 기계/만능 가공 기계
B27D-001,목단판 접합/물품 형성
B27D-003,단판 프레스/프레스판/합판 프레스
B27D-005,단판/합판 적용 가공
B27F-001,도브테일 가공/장부 절삭기/돌출부/홈 제작
B27F-004,드릴 장치 구비 조립못 삽입 기계
B27F-005,슬로팅/장부 깎기
B27F-007,못박기/스테이플 박기
B27G-001,판재 불규칙물 제거/구멍 매입기계
B27G-011,접합 목재 표면 접착제/아교 도포
B27G-013,절삭 블록
B27G-015,보오링/회전 공구 나선 드릴
B27G-017,손대패
B27G-019,목재톱용 안전 보호구/장치
B27G-021,목공 기계 전용 안전 보호구/장치
B27G-023,공구/안내구 조정 전용 측정 수단
B27G-003,목공 기계 연결/목공 플랜트 설계 수피부분/칩/나무 쓰레기
B27G-005,균등 접합단부 포함 경사 접합 가공 기계
B27H-001,목재 굽힘 가공
B27H-003,통/동물집/나무통 조립 부재 제작
B27H-005,통/동물집/나무통 제작
B27H-007,전체/주요부 목재 기반 바퀴 제작
B27J-001,대나무/등나무 기계적 가공
B27J-003,버드나무봉 껍질 벗기기
B27J-005,코르크 기계적 가공
B27J-007,타류 비소속 나무/식물 기계적 가공
B27K-001,목재 가습
B27K-003,목재 주입
B27K-005,염색/염색목/표백목 처리
B27K-007,코르크 화학적/물리적 처리
B27K-009,갈대/볏짚/유사재료 화학적/물리적 처리
B27L-001,수목/통나무 기반 수피/기적 제거
B27L-011,대팻밥/칩/목분/유사물 제조
B27L-003,화학적 처리 기반 수피 제거
B27L-005,단판 제조
B27L-007,통나무 켬 장치
B27L-009,봉형상 나무
B27M-001,기타 목재 가공
B27M-003,특정 반다듬질/다듬질 제품 제조/수리
B27N-001,성형 재료 전처리
B27N-003,입자/섬유 기반 실질적 평탄 물품
B27N-005,비평탄 목재 물품 제조
B27N-007,목재 물품 제조 후처리
B27N-009,내화용 처리 장치
B28B-001,시멘트/점토/석재 성형
B28B-011,시멘트/점토/석재 성형품 처리 장치/방법
B28B-013,시멘트/점토/석재 성형품 제조 형/장치 미성형 재료 공급/성형품 배출
B28B-015,시멘트/점토/석재 성형 플랜트 일반적 배치/레이아웃
B28B-017,시멘트/점토/석재 재료 성형용 장치 세부/부속품
B28B-019,내구층 표면 형성용 시멘트/점토/석재 공급 기계
B28B-021,시멘트/점토/석재 관상 제품 제조용 방법
B28B-023,형재료 매입 요소 기반 성형품 제조 장치
B28B-003,압착 사용 재료 기반 성형품 제조
B28B-005,성형 방법 무관 콘베이어 운반 형틀 내부/표면상 성형물품 제조
B28B-007,시멘트/석조 형/코어/심형
B28C-001,점토 제조/처리 가공 장치/방법
B28C-003,점토-타 물질 혼합장치/방법
B28C-005,시멘트-타 물질 혼합물 제조 장치
B28C-007,점토/시멘트-타 물질 혼합물 제조 장치 조작 제어/성분 공급
B28C-009,점토/시멘트 혼합 설비 배치/레이아웃
B28D-001,기타 석재/유사재료 가공
B28D-003,기타 석재 다듬질용 디스크/롤 분쇄기
B28D-005,보석류/결정체 정밀 가공
B28D-007,기타 석재 기타 기계 기구 사용 보조구
B29B-011,플라스틱 예비 성형품 제조
B29B-013,플라스틱 예비 성형품 상태 조절/물리적 처리
B29B-015,플라스틱 예비 성형품 기타 전처리
B29B-017,플라스틱 함유 폐재료 기반 플라스틱/타 구성 성분 회수
B29B-007,플라스틱 혼합/니딩
B29B-009,플라스틱 과립 제조
B29C-031,플라스틱 성형 취급
B29C-033,플라스틱 형/코아 부속 장치
B29C-035,플라스틱 가열/냉각/경화 성형
B29C-037,기타 플라스틱 성형 구성 부품
B29C-039,플라스틱 주형 성형
B29C-041,형/코아/표면 피복 기반 플라스틱 성형
B29C-043,플라스틱 압축 성형
B29C-044,플라스틱 내부압 성형
B29C-045,플라스틱 사출성형
B29C-047,플라스틱 압출 성형
B29C-048,플라스틱 압출 성형 장치
B29C-049,플라스틱 블로우 성형
B29C-051,플라스틱 열성형
B29C-053,플라스틱 구부림/접음/비틀음/직선화/평면화 성형
B29C-055,플라스틱 연신 성형
B29C-057,플라스틱 관단부 성형
B29C-059,플라스틱 표면 성형
B29C-061,내부 응력 해방 플라스틱 성형/장치
B29C-063,플라스틱 라이닝/피복
B29C-064,플라스틱 첨가제 제조
B29C-065,플라스틱 예비 성형 부품 접합
B29C-067,플라스틱 기타 성형 기법
B29C-069,복합 플라스틱 성형 기술
B29C-070,플라스틱 성형 기술 복합물/보강재
B29C-071,형상 비변화 플라스틱 성형품 후처리
B29C-073,가소 상태 플라스틱/물질 생성 성형품 수선
B29D-001,나사산 포함 플라스틱 성형품 제조
B29D-011,플라스틱 광학 소재 제조
B29D-012,플라스틱 틀 제조
B29D-015,플라스틱 톱니바퀴/홈/돌기 포함 성형품 제조
B29D-016,플라스틱 파형 성형품 제조
B29D-017,미세 홈/각인 포함 플라스틱 음반 기록 담체 제조
B29D-019,플라스틱 단추/단추 반제품 제조
B29D-021,플라스틱 머리빗/치/구 포함 성형품 제조
B29D-022,플라스틱 중공 성형품 제조
B29D-023,플라스틱 관상 성형품 제조
B29D-024,중공 벽 포함 플라스틱 형성품 제조
B29D-025,틀 미포함 플라스틱 반구형 성형품 제조
B29D-028,플라스틱 망/유사 성형품 제조
B29D-029,벨트/띠모양 플라스틱 끈 제조
B29D-030,플라스틱 공기 타이어/경화 타이어 부품 제조
B29D-031,플라스틱 특이 성형품 제조
B29D-033,베어링용 플라스틱 베어링통 제조
B29D-035,플라스틱 신는 것 제조
B29D-005,플라스틱 슬라이드 파스너 요소 제조
B29D-007,플라스틱 판상 성형품 제조
B29D-099,기타 플라스틱 주제사항 제조
B29K-001,셀룰로오즈/셀룰로오즈 변성/유도체 사용 성형재
B29K-101,불특정 고분자 화합물 사용 성형재
B29K-103,수지 결합 물질 사용 성형재
B29K-105,성형 물질 조건/형상/상태
B29K-019,고무 사용 성형재
B29K-201,셀룰로오즈/셀룰로오즈 변성/유도체 사용 보강재
B29K-207,천연 고무 사용 보강재
B29K-209,공액디엔 유도 고무 사용 보강재
B29K-021,불특정 고무 사용 성형재
B29K-219,기타 고무 보강재
B29K-221,불특정 고무 사용 보강재
B29K-223,폴리알켄 보강재
B29K-225,비닐-방향족 화합물 중합체 사용 보강재
B29K-227,폴리하로겐화비닐 사용 보강재
B29K-229,폴리비닐 화합물 보강재
B29K-023,폴리알켄 성형재
B29K-231,폴리비닐에스테르 보강재
B29K-233,불포화산 중합체 사용 보강재
B29K-235,불포화폴리카복실산 중합체 보강재
B29K-245,불포화 지방족기 미포함 불포화 환식 화합물 중합체 성형재
B29K-025,비닐-방향족 화합물 중합체 사용 성형재
B29K-255,탄소-탄소 불포화 결합 수반 중합반응체 사용 보강재
B29K-259,폴리아세탈 보강재
B29K-261,알데히드/케톤 축합 중합체 보강재
B29K-263,에폭시 수지 보강재
B29K-267,폴리에스테르 보강재
B29K-269,폴리카보네이트 보강재
B29K-027,폴리할로겐화비닐 성형재
B29K-271,폴리에테르 보강재
B29K-273,주쇄 헤테로 원자 산소 포함 중합체 보강재
B29K-275,폴리우레아/폴리우레탄 보강재
B29K-277,폴리아미드 보강재
B29K-279,주쇄 질소 포함 중합체 보강재
B29K-281,주쇄 유황 포함 중합체 보강재
B29K-283,주쇄 규소 포함 중합체 보강재
B29K-285,주쇄 타 원소 포함 중합체 보강재
B29K-286,축중합/중부가반응 기반 중합체 보강재
B29K-029,폴리 비닐 화합물 성형재
B29K-295,열청 물질 보강재
B29K-296,특정 고분자 물질 사용 보강재
B29K-301,불특정 고분자 화합물 사용 보강재
B29K-303,수지 결합 물질 보강재
B29K-305,금속/합금/화합물 사용 보강재
B29K-307,금속 이외 원소 보강재
B29K-309,기타 무기물질 보강재
B29K-031,폴리비닐에스테르 성형재
B29K-311,기타 천연산물 보강재
B29K-033,불포화산 중합체 성형재
B29K-035,불포화폴리카복실산 중합체 성형재
B29K-401,셀룰로오즈 사용 충진재
B29K-407,천연고무 충진재
B29K-409,공액디엔 유도 고무 충진재
B29K-419,기타 고무 충전제
B29K-421,불특정 고무 충진재
B29K-423,폴리알켄 충진재
B29K-425,비닐-방향족화합물 충진재
B29K-427,폴리비닐할로겐화물 충진재
B29K-429,폴리비닐화합물 충진재
B29K-431,폴리비닐에스테르 충진재
B29K-433,불포화산 중합체 충진재
B29K-435,불포화 카복실산 중합체 충진재
B29K-445,불포화 지방족기 미포함 환식 화합물 중합체 충진재
B29K-045,불포화 지방산기 미포함 불포화 환식 화합물 중합체 사용 성형재
B29K-455,탄소-탄소 불포화 결합 수반 중합반응물 충진재
B29K-459,폴리아세탈 충진재
B29K-461,알데히드/케톤 축합 중합체 충진재
B29K-463,에폭시 수지 충진재
B29K-467,폴리에스테르 충진재
B29K-469,폴리카보네이트 충진재
B29K-471,폴리에테르 충진재
B29K-473,헤테로 원자 산소 포함 중합체 충진재
B29K-475,폴리우레아/폴리우레탄 충진재
B29K-477,폴리아미드 충진재
B29K-479,주쇄 질소 포함 중합체 충진재
B29K-481,주쇄 유항 포함 중합체 충진재
B29K-483,주쇄 규소 포함 중합체 충진재
B29K-485,주쇄 타 원소 포함 중합체 충진재
B29K-486,축중합/중부가반응 중합체 충진재
B29K-491,왁스 충진재
B29K-495,역청 물질 충진재
B29K-496,특정 고분자 물질 충진재
B29K-501,불특정 고분자 물질 충진재
B29K-503,수지 결합 물질 충진재
B29K-505,금속 화합물 충진재
B29K-507,비금속 원소 충진재
B29K-509,기타 무기물질 충진재
B29K-511,천연산물 충진재
B29K-055,탄소-탄소 불포화 결합 수반 중합반응체 성형재
B29K-059,폴리아세탈 성형재
B29K-601,예비 성형품용 셀룰로오즈 삽입물
B29K-607,예비 성형품용 천연 고무 삽입물
B29K-609,예비 성형품용 공액디엔 유도 고무 삽입물
B29K-061,알데히드/케톤 축합 중합체 성형재
B29K-619,기타 고무 예비 성형품
B29K-621,불특정 고무/탄성중합체 삽입물
B29K-623,폴리알켄 삽입물
B29K-625,비닐-방향족화합물 중합체 삽입물
B29K-627,폴리비닐할로겐화물 삽입물
B29K-629,폴리비닐화합물 삽입물
B29K-063,에폭시 수지 성형재
B29K-631,폴리비닐에스테르 삽입물
B29K-633,불포화산 중합체 삽입물
B29K-635,불포화 폴리카복실산 중합체 삽입물
B29K-645,측쇄 불포화 지방족기 미포함 환식 화합물 중합체 삽입물
B29K-655,탄소-탄소 불포화 결합 중합체 삽입물
B29K-659,폴리아세탈 삽입물
B29K-661,알데히드/케톤 중합체 삽입물
B29K-663,에폭시 수지 삽입물
B29K-667,폴리에스테르 삽입물
B29K-669,폴리카보네이트 삽입물
B29K-067,폴리에스테르 성형재
B29K-671,폴리에테르 삽입물
B29K-673,헤테로 원자 산소 중합체 삽입물
B29K-675,폴리우레아/폴리우레탄 삽입물
B29K-677,폴리아미드 사용 삽입물
B29K-679,주쇄 질소 포함 중합체 삽입물
B29K-681,주쇄 유황 포함 중합체 삽입물
B29K-683,주쇄 규소 포함 중합체 삽입물
B29K-685,주쇄 기타 원소 중합체 삽입물
B29K-686,축중합/중부가반응 중합체 삽입물
B29K-069,폴리카보네이트 성형재
B29K-691,왁스 삽입물
B29K-695,역청물질 삽입물
B29K-696,고분자 물질 삽입물
B29K-007,천연 고무 주물재료 삽입물
B29K-701,불특정 고분자 화합물 삽입물
B29K-703,수지 결합 물질 삽입물
B29K-705,금속/화합물 삽입물
B29K-707,비금속 원소 삽입물
B29K-709,기타 무기물질 삽입물
B29K-071,폴리에테르 성형재
B29K-711,천연산물/복합물 삽입물
B29K-073,주쇄 산소 중합체 성형재
B29K-075,폴리우레아/폴리우레탄 성형재
B29K-077,폴리아미드 성형재
B29K-079,주쇄 질소 중합체 성형재
B29K-081,주쇄 유황 중합체 성형재
B29K-083,주쇄 규소 중합체 성형재
B29K-085,주쇄 기타 원소 중합체 성형재
B29K-086,중축합/중부가반응 중합체 성형재
B29K-009,공액 디엔 유도 고무 사용 성형재
B29K-091,왁스 성형재
B29K-095,역청 물질 성형재
B29K-096,고분자 물질 성형재
B29L-001,나사 산 포함 성형품
B29L-011,광학 부재 플라스틱 성형
B29L-012,플라스틱 틀 성형
B29L-015,치륜/구/돌기 플라스틱 성형
B29L-016,플라스틱 성형품
B29L-017,미세 흠/각인 음반 기록 담체 제조
B29L-019,플라스틱 단추/반제품 제조
B29L-021,머리빗/유사 치/구 포함 플라스틱 성형품
B29L-022,플라스틱 중공 성형품
B29L-023,플라스틱 관상 성형품
B29L-024,플라스틱 중공 벽 성형품
B29L-025,플라스틱 틀 미포함 돔 성형품
B29L-028,플라스틱 망 성형품
B29L-029,플라스틱 벨트/띠모양 끈 성형품
B29L-030,플라스틱 공기압 타이어/솔리드 타이어 성형품
B29L-031,기타 플라스틱 성형품
B29L-005,플라스틱 슬라이드 파스너 부재
B29L-007,플라스틱 판상 성형품
B29L-009,플라스틱 적층 생산품
B30B-001,트러스트/텐션 부재 사용/직접 램 사용 프레스
B30B-011,입자상/가소 상태 물질 일정 형상물 제작 프레스
B30B-012,기타 프레스 가공
B30B-013,기타 비한정 프레스 방법
B30B-015,프레스기 세부 부속구
B30B-003,회전 프레스 기구
B30B-005,기타 프레스 수단 사용 프레스
B30B-007,특수 배열 특징 프레스 부재
B30B-009,특수 목적 적용 프레스
B31B-001,특정 작동 상자/카아톤/봉투/포대류 제조 기계
B31B-100,낱개 종이 시트/블랭크/웹 접기 제조 상성/준강성 용기
B31B-105,종이 분리 시트/블랭크/웹 조립 기반 강성/준강성 용기 제조
B31B-011,벽판 비일체 칸막이벽/상자/카아톤 제조 기계
B31B-110,강성/준강성 용기 성형
B31B-120,강성/준강성 용기 구조
B31B-013,서랍식 상자/카아톤 조립 기계류
B31B-015,포장/외측 보강 상자/카아톤 제조 기계
B31B-150,시트/블랭크 제조 유연 용기
B31B-155,웹 제작 유연 용기
B31B-160,유연 용기 성형
B31B-017,수매 시트/블랭크/웹 송신/위치 지정 수단
B31B-170,유연 용기 구조
B31B-019,평형/방형 봉투/포대류 제조 기계
B31B-021,시트/블랭크 이용 평탄 형 봉투/포대류 제조 기계
B31B-023,웹 이용 평탄 형 봉투/포대류 제조 기계
B31B-025,말단날부 포함 봉투/포대류 제조 기계
B31B-027,상호 연결 봉투/포대류 제조 기계
B31B-029,내용물 부피 구성 저부 비치 봉투/포대류 제조 기계
B31B-003,특정 작동 상자/카아톤/봉투/포대류 제조 기계
B31B-031,시트/블랭크 사용 내용물 부피 구성 저부 비치 봉투/포대류 제조 기계
B31B-033,시트/블랭크 사용 종축 평행 방향 송신 봉투/포대류 제조 기계
B31B-035,시트/블랭크 사용 종축 직각 방향 송신 봉투/포대류 제조 기계
B31B-037,웹 사용 내용물 부피 구성 저부 비치 봉투/포대류 제조 기계
B31B-039,시트/블랭크 사용 이면바르기 봉투/포대류 제조 기계
B31B-041,시트/블랭크 사용 기타 특수 형 봉투/포대류 제조 기계
B31B-043,기타 압력 기반 시트재 성형 용기 제조 기계
B31B-045,파형 벽판 용기 제조 기계
B31B-047,봉투/포대류/상자/카아톤 제조 수공구
B31B-049,기타 상자/카아톤/봉투/포대류 제작 기계류
B31B-005,조립/허물 포함 한매 시트 접기 기반 상자/카아톤 조립
B31B-050,강성/준강성 용기 제조
B31B-007,뒷면 바르기/내측 보강 상자/카아톤 제조 기계
B31B-070,가요성 용기 제작
B31B-009,심 부착 벽판 포함 상자/카아톤 제조 기계
B31C-001,권취/맨드릴 중심선 기준 직각 공급 튜브/파이프 제조
B31C-011,타 기계 결합 권취 기계
B31C-013,비분류 감아부착 제품 제조
B31C-003,권취 맨드릴 중심선 사선 방향 공급 튜브/파이프 제조
B31C-005,맨드릴 미사용 튜브/파이프 제조
B31C-007,권취 기반 원뿔형 제품 제조
B31C-009,웹 별개 권취 기반 원통형-원추형 동시 성형
B31C-099,기타 권취 제품 제조
B31D-001,평형 종이/판지 제품 제조 다단계 공정
B31D-003,세포상 구조 제품 제조 공정
B31D-005,종이 3차원 제품 제조용 다단계 공정
B31D-099,기타 종이/판지 제조 공정
B31F-001,재료 미제거 종이/판지 기계적 변형
B31F-005,시트/스트립/웹 종이 부착
B31F-007,기타 종이 기계 변형 가공
B32B-001,일반적 형상 포함 적층체
B32B-011,역청질/타르물질 기반 적층체
B32B-013,물 응고 적층체
B32B-015,금속 적층체
B32B-017,시트그라스/유리섬유/슬 적층체
B32B-018,세라믹 적층체
B32B-019,천연광물 섬유/입상물 적층체
B32B-021,목재 적층체
B32B-023,셀룰로오스계 플라스틱 물질 구성 적층체
B32B-025,천연/합성고무 적층체
B32B-027,합성수지 적층체
B32B-029,종이/판지층 적층체
B32B-003,외부/내부 불연속/불균일 층 적층체
B32B-033,특수 성질/표면 요소 사용 적층제
B32B-037,적층 방법/장치
B32B-038,적층 수반 부수 조작
B32B-039,장치/플랜트 레이아웃
B32B-041,적층 과정 감시/제어 장치
B32B-043,적층체 적합 조작
B32B-005,층 불균질/물리적 구조 특징 적층체
B32B-007,층간 관계 특징 적층체
B32B-009,특정물질 기반 적층체
B33Y-010,첨삭가공 프로세스
B33Y-030,첨삭가공 장치
B33Y-040,첨삭가공 보조조작
B33Y-050,첨삭가공용 정보 습득
B33Y-070,첨삭가공 부가 제조 재료
B33Y-080,첨삭가공 제품
B33Y-099,기타 첨가물 제조 기술
B41B-001,수조용 요소/용구/조판 움직임 방지 쇠틀/죔쇠/교정쇄
B41B-011,활자 주조 선택/조합 문자용 모형 사용 기계적 식자용 기계 세부/부속 장치
B41B-013,배열 활자 문자
B41B-015,촬영 전 문자행 구성 가동성 문자 운반체 포함 사진식 자기
B41B-017,가동성 문자 운반체 포함 행 구성 장치 미포함 사진 식자기
B41B-019,광전식 식자기
B41B-021,기타 사진 식자기 공통 세부
B41B-023,사진 식자/광전식 식자 결합 수정/혼합/정정용 장치
B41B-025,식자기 제어용 기록 운반체 제조 장치
B41B-027,식자기용 제어/지시/안전장치 시스템
B41B-003,조립식 활자 사용 기계적 식자용 장치
B41B-005,활자/행 제조용 장치
B41B-007,활자 모형 주조/성형 기계적 식자용 장치
B41B-009,활자 주조 고정 조합 모형 사용 기계적 식자용 장치
B41C-001,인쇄판 제작
B41C-003,인쇄판 복제
B41D-001,연판지형 제조/처리
B41D-003,연판 주조/기계
B41D-005,연판 작업/처리
B41D-007,인쇄 판면 작성용 탄성/변형 가능 재료
B41D-099,기타 연판 인쇄 기계적 복제 장치
B41F-001,평압인쇄기
B41F-011,다수 인쇄판면 지지 판동 포함/철판 평판 요판 인쇄 윤전기
B41F-013,윤전기 세부
B41F-015,스크린 인쇄기
B41F-016,인쇄 장치 이동
B41F-017,타종류 미포함 인쇄 장치
B41F-019,타 조작 결합 인쇄 조작 수행 장치/기계
B41F-021,매엽지 운반 인쇄 장치
B41F-022,인쇄물/기계 부품 오염 방지 수단
B41F-023,매엽지/권취지/인쇄 연관 타 물품 표면 처리 장치
B41F-025,매엽지/권취지 가압 장치
B41F-027,인쇄 요소/판 지지체 부착 장치
B41F-003,원압 인쇄기
B41F-030,피복막 부착용 장치/준비 장치
B41F-031,잉크 공급장치
B41F-033,인쇄기 지시/계수/경보/안전 장치
B41F-035,인쇄기 세정 설비/장치
B41F-005,철판 윤전기
B41F-007,평판 윤전기
B41F-009,요판 윤전기
B41G-001,금분 인쇄 장치
B41G-003,괘선 인쇄 장치
B41G-005,매엽지/유사 물체 가장자리 부 테 두름 장치
B41G-007,인쇄 장치 조합 보조적 천공 장치
B41J-001,활자 장착/배열 타이프 라이터/인자 기구
B41J-011,시트/웹 형태 용지 지지/취급 장치
B41J-013,단축 길이 복사 용지
B41J-015,연속 복사 용지
B41J-017,페이지 가압식 복사 재료
B41J-019,자간/라인 스페이스 기구
B41J-002,인쇄/마킹법 실시 타이프 라이터/선택적 인쇄 기구
B41J-021,인쇄 작표 장치/센터링 지정법
B41J-023,장치/기구용 동력 구동 장치
B41J-025,비분류 인쇄 장치/기구
B41J-027,잉크 도포 장치
B41J-029,비분류 타이프 라이터/선택적 인자 기구 부속 장치
B41J-003,구성 목적 특징 포함 타이프 라이터/선택적 인자 기구
B41J-031,잉크 리본
B41J-032,잉크리본 카트리지
B41J-033,가압식 복사 재료 이송 잉크리본
B41J-035,잉크 리본 기구 결합/조합 장치
B41J-005,문자 선택 제어용 장치
B41J-007,활자 선택/활자 작동 기구
B41J-009,해머 인타 기구
B41K-001,지지/위치 결정 수단 미포함 수동 조작 압인 장치
B41K-003,압인 지지 수단 포함 압인 장치
B41K-005,티켓 압인 교부 펜치상 압인구
B41K-099,기타 압인 장치
B41L-001,감압층/매개물 복사 장치
B41L-011,핵토그래프 매스터 기반 경상 직접 전사 장치
B41L-013,사무용 공판 인쇄 장치
B41L-015,사무용 철판 인쇄 장치
B41L-017,사무용 평판 인쇄 장치
B41L-019,기타 특수 목적 사무용 전사/인쇄 장치
B41L-021,복사/전사/인쇄용 장치/기계 기반 카피용 지엽/권취지 급송 장치
B41L-023,인쇄 관련 지엽/권취지/타 물품 표면 처리 장치
B41L-025,판면 습윤 장치
B41L-027,잉크 공급 도포 장치
B41L-029,인쇄 요소/판 지지대 부착 장치
B41L-003,감압층/매개물 사용 복사용 플라텐/유사 지엽 지지물 장치
