IPC subclass,Label
B09C,오염된 토양의 재생
B21B,금속의 압연
B21C,"압연 이외의 방법에 의한 금속판, 선, 봉, 관, 프로파일 의 제조 또는 기타 반제품; 본질적으로 재료를 제거하지 아니하는 금속가공과 관련해서 사용하는 보조조작"
B21D,"기본적으로 재료의 제거없이 금속판, 금속관, 금속봉 또는 금속외형(Profiles)의 가공 또는 공정; 펀칭(Punching)"
B21F,금속와이어(선재)의 가공 또는 공정
B21G,"바늘, 핀 또는 금속 못의 제조"
B21H,"전조, 롤러가공 또는 압연에 의한 특정의 금속대상물의 제조"
B21J,단조; 해머링(망치질); 금속 프레스; 리베팅; 단조로
B21K,"단조 또는 금속 프레스제품의 제조, 예. 말굽, 리벳, 볼트, 차륜("
B21L,금속 체인의 제조
B22C,주조용 주형 조형
B22D,금속의 주조; 동일방법과 장치에 의한 타물질의 주조
B22F,금속 분말의 가공; 금속분말로부터 물품의 제조
B23B,선삭; 보오링
B23C,밀링
B23D,평삭; 슬로팅; 전단; 브로우칭; 톱질; 줄질; 스크레이핑; 달리 분류되지 않는 재료를 제거하는 금속 가공을 위한 유사한 작업
B23F,치차 또는 랙의 제조
B23G,"나사산 절삭; 나사산 절삭과 관련된 나사, 볼트 또는 너트의 가공"
B23H,"공구의 전극을 사용, 공작물에 고밀도의 전류를 사용하는 것에 의해서 행해지는 금속 가공; 이와같은 가공과 다른 형식의 금속 가공을 복합한 것"
B23K,"납땜(Soldering) 또는 비납땜(Unsoldering); 용접; 납땜 또는 용접에 의하여 클래딩(clading) 또는 피복; 국부 가열에 의한 절단,"
B23P,달리 분류되지 않는 금속 가공; 복합 작업; 만능 공작 기계
B23Q,"공작 기계의 세부, 구성부분, 또는 부속 장치,"
B24B,"연삭 또는 연마하기 위한 기계, 장치 또는 공정"
B24C,연마제(ABRASIVE) 또는 입상 물질(PARTICULATE MATERIAL)의 분사(BLASTING)
B24D,"그라인딩(grinding), 버핑(buffing) 또는 날연삭 (sharpening)용 공"
B25B,"달리 분류되지 않는 공구 또는 작업대 장치, 고착구, 연결구, 해체구 또는 고정구"
B25C,휴대 가능한 못박기 공구 또는 스테이플러; 휴대 가능한 수동식 스테이플러
B25D,충격 공구
B25F,달리 분류되지 않는 조합 공구 또는 다목적 공구; 작업에 특별히 관련되어 달리 분류되지 않는 휴대용 동력 구동 공구의 세부 또는 요소
B25G,수공구용 자루
B25H,공장 설비
B25J,메니플레이터(manipulater); 메니플레이터 장치를 갖는 실(室)
B26B,그 밖에 분류되지 않는 휴대용 절단 공구
B26D,"절단; 구멍뚫기, 펀칭, 잘라내기, 형빼기 또는 절삭을 위한 기계에 공통된 세부"
B26F,구멍 뚫기; 펀칭; 잘라 빼기; 형 뽑기; 절단 커팅(CUTTING)을 제외한 수단에 의한 절단(SEVERING)
B27B,목재 또는 유사 재료를 위한 톱 ; 그것을 위한 구성품 또는 부속품
B27C,"대패질, 송곳질(Drilling), 제분, 선삭, 또는 목재 또는 그와 유사한 재료용 만능 가공기계"
B27D,단판 또는 합판의 가공
B27F,도브테일(Dovetail)가공; 장부(tenons)절단기; 목재 또는 그와 유사한 재료용 홈(Slot) 가공기; 못박기 또는 스테플링 기계
B27G,목공 또는 유사한 재료를 위한 부속 기계 또는 장치; 목공 또는 유사 재료를 위한 것
B27H,목재 또는 유사 재료를 구부림; 통장이일(Cooperage); 목재 또는 유사물을 이용한 바퀴 제작
B27J,"대나무, 등나무, 코르크 또는 유사 재료의 기계적 가공"
B27K,"목재를 주입, 착색, 염색, 표백하거나, 목재 및 그와 유사 재료를 침투액으로 처리하는 방법, 장치 또는 물질의 선택; 코르크, 등나무, 갈대, 볏짚 또는 유사 재료의 화학적 또는 물리적 처리"
B27L,수피 또는 기적(vestiges of branches)의 제거
B27M,서브클래스 B27B로부터 B27L로 분류되지 않는 목재의 가공; 특정 목제품의 제조
B27N,"목재 또는 타의 리그노셀룰로이즈 또는 유사 유기재료로 이루어지는 입자 또는 섬유에서 형성되는 물품의, 유기 결합재를 갖거나 갖지 않는, 드라이 프로세스에 의한 제조"
B28B,점토 또는 다른 세라믹 조성물; 쉐이핑 슬래그; 시멘트질 물질을 포함하는 성형 혼합물
B28C,점토의 제법; 점토 또는 시멘트 유사물
B28D,석재 또는 석재 유사 재료의 가공
B29B,성형 재료의 준비 또는 전처리; 조립 또는 예비 성형품의 제조; 플라스틱을 함유하는 폐기물로부터 플라스틱 또는 다른 구성 성분의 회수
B29C,플라스틱의 성형 또는 접합; 소성 상태에 있는 물질의 성형으로서 달리 분류되지 않는 것; 성형품의 후처리
B29D,플라스틱 또는 가소성 상태에 있는 물질로부터 특정 성형품의 제조
