IPC subclass,Label
D04B,메리야스편성
D04C,보빈네트(bobbin-net) 또는 탄화레이스를 포함한 레이스의 끈꼬기 또는 제조; 끈꼬는 기계
D04D,"장식품; 달리 분류되지 아니하는 리본, 테이프 또는 밴드 "
D04G,필라멘트상 재료의 매듭 장식에 의한 제망; 매듭 장식 양탄자(knotted carpet) 또는 타페스트리(tapestries)의 제조; 달리 분류되지 아니하는 매듭 장식
D04H,"직물(textile fabrics)의 제조, 예. 섬유 또는 필라멘트상 재요로부터"
D05B,봉제
D05C,자수
D06B,"섬유 재료의 액체, 기체 또는 증기에 의한 처리 "
D06C,"섬유 원단의 피니싱, 드레싱, 텐터링 또는 스트레칭"
D06F,"섬유제품의 세탁, 건조, 다림질, 프레스 또는 절첩"
D06G,"카펫, 러그, 마대, 가죽 또는 기타 피혁 또는 섬유 제품 또는 원단의 기계식 또는 압력식 청정; 가요성의 튜브 또는 기타 중공물질의 안팎 뒤집기"
D06H,"섬유 재료의 마킹, 검사 또는 시밍"
D06J,"섬유 원단 또는 의류의 주름가공, 주름잡기 또는 주름장식"
D06L,"섬유, 가연사, 사, 직물, 우모 또는 인조 섬유 제품의 표백"
D06M,"클래스 D06에서 제공되지 않는 섬유, 가연사, 사, 직물, 우모 또는 이와같은 재료로부터 제조된 섬유제품의 처리"
D06N,"벽, 바닥 또는 피복재료, 예. 리놀륨, 유포(Oilcloth), 인조피혁, 루핑펠트(Roofing felt), 고분자 물질층으로 피복된 섬유 웹; 다른 곳에서 제공되지 않는 유연 시트 재료"
D06P,"섬유제품의 염색 또는 날염; 피혁, 모피 또는 여러가지 형태의 고체상 고분자 물질의 염색"
D06Q,섬유제품의 장식
D07B,로프 또는 케이블 일반
D21B,섬유원료 또는 그의 기계적 처리
D21C,셀룰로스함유 재료로부터 비셀룰로스물질을 제거하는 것에 의한 셀룰로스의 제조; 펄프 화약액 (pulping liquor)의 재생; 이를 위한 장치
D21D,초지기에 보내기 전에 행하는 증해된 지료의 처리[5]
D21F,초지기; 이에 의한 종이의 제조방법
D21G,캘린더(calendar); 초지기의 부속품
D21H,펄프 조성물
D21J,섬유판; 셀룰로스성 섬유의 현탁액 또는 혼응지로부터 물품의 제조
D99Z,이 섹션 중에서 그 밖에 분류되지 않는 주제 사항
E01B,궤도; 궤도용 공구; 모든 종류의 철도건설용 기계
E01C,"도로, 경기장 또는 그와 유사한 것의 건설 또는 그 표면의 시공; 건설 및 보수용 기계 또는 보조 공구"
E01D,교량
E01F,"도로의 부대설비(附帶設備)의 설치 또는 플랫폼, 헬리콥터의 착륙대(着陸臺), 표시(標示), 방설책(防雪柵) 또는 이와 유사한 것의 건설과 같은 부대작업(附帶作業)"
E01H,가로(街路)의 청소; 궤도(軌度)의 청소; 해안(海岸)의 청소; 지면(地面)의 청소; 안개의 소산(消散) 일반
E02B,수공(水工)
E02C,선박의 리프트 장치 및 기구
E02D,기초(基礎); 굴착(掘鑿); 축제(築堤)
E02F,굴착(掘鑿); 토사(土砂)의 이송
E03B,"취수(取水), 집수(集水), 또는 배수(配水) 설비 또는 그 방법"
E03C,상수(上水) 또는 폐수(廢水)용의 가정용 배관 설비
E03D,수세변소(水洗便所) 또는 세정(洗淨) 장치를 갖는 소변소(小便所); 그를 위한 세정(洗淨) 밸브
E03F,하수(下水); 오수(汚水) 구덩이
E04B,"건축구조일반; 벽, 예. 칸막이벽; 지붕; 바닥; 천정(天井); 건축물의 절연(絶緣) 또는 기타 보호"
E04C,구조요소; 건축 재료
E04D,지붕 잇기; 천창(天窓); 물받이 홈통; 지붕 공사용 공구(
E04F,건축물의 마무리
E04G,"비계(飛階); 거푸집; 거푸집 널; 건축용 기구 또는 보조구 또는 그것들의 사용; 현장에 있어서의 건축 재료의 취급; 현존하는 건축물의 보수, 해체 또는 기타 작업"
E04H,특정 목적의 건축물 또는 유사한 구축물(構築物); 수영(水泳) 또는 물놀이용 수조(水槽) 또는 풀(pool); 마스트(mast); 울타리; 텐트 또는 차양 일반
E05B,자물쇠; 자물쇠를 위한 부속품; 수갑
E05C,윙 특히 도어 또는 창문용의 볼트 고정 장치
E05D,"도어, 창 또는 윙용 힌지(Hinge) 및 지지 장치"
E05F,윙을 개폐(開閉)하는 수단; 윙용(用) 체크(Check); 타류에 속하지 않고 윙의 기능에 관계되는 윙의 부품
E05G,금고(金庫) 또는 귀중품 보관실(保管室); 은행(銀行) 방호(防護) 장치; 보안(保安) 격벽(隔璧) 
E06B,"건축물, 승용물(乘用物), 펜스 또는 유사한 울타리에 있어서 개구부를 위한 고정(固定) 또는 가동(可動) 폐쇄 부재 일반"
E06C,사다리
E21B,지중 또는 암석의 굴착
E21C,채광(採鑛) 또는 채석
E21D,수직갱(垂直坑); 터널; 갱도(坑道); 대형 지하실
E21F,"갱도(坑道) 또는 터널내의 또는 그것들의, 안전장치, 운반, 충전(充塡), 구호(救護), 통풍(通風) 또는 배수(排水)"
E99Z,이 섹션에서 그 밖에 분류되지 않는 주제 사항
F01B,"기계 또는 기관, 일반 또는 용적형의 것"
F01C,회전피스톤식 또는 요동피스톤식 기계 또는 기관
F01D,비용적형의 기계 또는 기관
F01K,증기기관설비; 증기어큐뮬레이터(accumulator); 달리 분류되지 않는 기관설비; 특수한 작동유체 또는 사이클을 사용한 기관
F01L,주기적으로 작동하는 기계 또는 기관용 밸브
F01M,기계 또는 기관의 윤활일반
F01N,기계 또는 기관을 위한 가스유 소음기 또는 배기장치 일반; 내연기관용 관한 것
F01P,기계 또는 기관의 냉각일반; 내연기관의 냉각
F02B,내연식 피스톤기관; 연소기관 일반
F02C,가스터빈 설비；제트 추진 설비를 위한 공기의 도입；공기 흡입 제트 추진 설비에 있어서의 연료 공급 제어
F02D,연소 기관의 제어
F02F,"연소기관의 실린더, 피스톤 또는 케이싱; 연소기관의 밀봉장치의 구성"
F02G,열가스 또는 연소생성 용적형 기관설비
F02K,제트추진장비
F02M,일반 연소기관에의 가연혼합물 또는 그의 성분의 공급
F02N,"연소 엔진의 시동; 그러한 엔진에 대한 시동 보조제, 달리 제공되지 않는 것"
F02P,내연기관의 점화에서 압축 점화 이외의 것; 압축 점화 기관의 점화시기의 시험
F03B,액체용 기계 또는 기관
F03C,액체에 의해 구동되는 용적형기관
F03D,풍력원동기
F03G,"스프링, 동력, 관성 또는 비슷한 원동기; 기계적 동력을 발생하는 장치 또는 기구로서, 타류에 속하지 않는 또는 타류에 속하지 않는 에너지원을 사용하는 것"
F03H,반동추진력을 발생시키는 것으로서 타류에 속하지 않는 것
F04B,액체용 용적형 기계; 펌프
F04C,"액체용 회전피스톤 또는 요동피스톤, 용적형 기계"
F04D,비용적형 펌프
F04F,타의 유체와의 직접접촉에 의하여 또는 펌핑되는 유체의 관성력을 이용하여 유체를 펌핑하는 것
F15B,유체수단에 의하여 작동하는 계 일반; 유체압 액튜에이터
F15C,주로 계산(computing) 또는 제어(control) 목적에 쓰이는 유체회로소자
F15D,"유체역학, 즉 기체 또는 액체의 흐름에 영향을 주기 위한 방법 또는 수단"
F16B,"구조부재 또는 기계부품끼리를 죄거나 고정하기 위한 장치,"
F16C,"축; 휨축; 신축성 있는 덮개에서 움직임을 전동하기 위한 기계적 수단; 크랭크축 기구의 요소; 중심축; 추축 연결; 전동장치, 연결장치, 클러치 또는 제동장치 요소 이외의 회전체 요소; 베어링"
F16D,회전운동의 전달을 위한 커플링(coupling
F16F,스프링; 완충장치; 진동감쇠 수단
F16G,케이블 또는 로프를 서로 또는 다른 것에 결착하기 위한 수단
F16H,전동장치(Gearing)
F16J,피스톤; 실린더; 압력용기 일반; 밀봉장치
F16K,밸브; 탭(Tap); 콕(Cock); 작동하는 플로트(float); 배기 또는 흡기장치
F16L,"관; 관의 이음 또는 부속품; 관, 케이블 또는 보호관류의 지지; 일반적인 열절연(THERMAL INSULATION) 방법"
F16M,"엔진, 기계 또는 장치에서의 프레임, 케이싱(casing) 또는 베드(beds)로서; 다른 곳에 속하는 엔진(engine), 기계 또는 장치에 특유하지 않은; 스탠드 또는 지지체"
F16N,윤활
F16P,안전장치 일반
F16S,구조용 요소 일반; 이 요소로 조립된 구조물 일반
F16T,증기트랩(steam trap) 또는 기체 또는 증기를 강제로 수용하는 밀폐체로부터 액체를 배출하는 유사한 장치
F17B,용량의 변화가 가능한 가스 탱크(gas tank
F17C,"압축, 액화 또는 고화(固化)가스의 수용 또는 저장용 용기; 일정용량의 가스탱크; 압축, 액화 또는 고화가스의 용기에의 충전 또는 용기로부터의 방출"
F17D,관로계; 관로
F21H,백열 맨틀(mantle); 연소로 가열되는 다른 백열 자연체
F21K,발광체를 이용하는 비-전기 광원; 전계화학발광을 사용하는 광원; 인화성 물질의 충진을 이용한 광원; 광 생성 요소로서 반도체 장치를 사용하는 광원; 달리 제공되지 않는 광원
F21L,휴대용 또는 특별히 운반에 적합하도록 구성된 조명장치 또는 시스템
F21M,F21S 로 이동
F21P,F21S 로 이동
F21Q,F21S 로 이동
F21S,비휴대용 조명장치; 그 시스템; 자동차 외형에 특별히 적합한 자동차 등기구
F21V,"조명장치 또는 그 시스템의 기능적 특징 또는 그 세부. 달리 분류되지 않는, 다른 물체와 조명장치의 구조적 결합"
F21W,"조명장치 또는 조명시스템의 사용 및 적용과 관계된 서브클래스 F21L,F21S 그리고 F21V와 관련한 인덱싱 체계"
F21Y,"광원의 형태와 관계된, 서브클래스"
F22B,증기발생법; 증기보일러
F22D,"예열, 또는 예열되어, 증기 발생기에 공급되는 물의 축적; 증기발생기로의 물의 공급; 증기 발생기의 수위 제어; 증기 보일러내에서 물의 순환를 증진하기 위한 보조 장치"
F22G,증기의 과열
F23B,고체연료만을 사용하는 연소 방법 또는 장치
F23C,유체 연료(FLUID FUEL) 또는 공기중에 현탁된 고체 연료를 이용한 연소 방법 또는 장치
F23D,버너
F23G,화장로(Cremation Furnaces); 연소에 의해 폐기물 또는 저등급 연료를 소각하는 것
F23H,화격자의 청소 또는 갈퀴질(ranking)
F23J,연소생성물 또는 연소잔재의 제거 또는 처리
F23K,연소장치에로의 연료의 공급
F23L,일반적인 연소 장치에 공기나 불연성 액체 또는 가스를 공급하는 것; 연소 장치내 기류 또는 공기 공급의 조절에 특히 적합한 밸브 또는 댐퍼; 연소 장치에 기류를 유도하는 것; 환기축 또는 굴뚝을 위한 윗부분; 연통을 위한 선단
F23M,달리 분류되지 않는 연소실의 구조상의 세부
F23N,연소의 조정 또는 제어
F23Q,점화
F23R,고압 또는 고속의 연소생성물의 생성
F24B,고체연료 사용의 가정용 스토브(stove) 또는 레인지(Range)
F24C,가정용 스토브 또는 레인지
F24D,가정용 또는 구역 난방방식
F24F,공기조화; 공기가습; 환기; 차폐를 위한 기류의 이용
F24H,열발생수단이 있는 유체가열기
F24J,달리 분류되지 않는 열의 발생 또는 사용
F24S,태양열 집열기; 태양열 시스템
F24T,지열 수집기; 지열 시스템
F24V,"달리 분류되지 않는 열의 수집, 생산 또는 사용 "
F25B,"냉동기계, 플랜트(Plants) 또는 시스템; 가열과 냉동을 조합 시스템; 히트 펌프시스템"
F25C,"얼음의 제조, 작업 또는 취급"
F25D,냉장고; 냉각실; 아이스박스; 달리 제공되지 않는 냉각 또는 동결장치
F25J,"기체 또는 기체혼합물의 가압 및 냉각처리에 의한 액화,응고 또는 분리"
F26B,고체원료 또는 고형물에서 액체를 제거하는 것에 의한 건조
F27B,"노, 킬른, 가마, 레토르트일반; 개방식 소결용 또는 유사한 장치"
F27D,"노의 1종류 이상에서 볼 수 있는 것에 있어서의 노, 킬른, 오븐 또는 레토르트의 세부 또는 부속품"
F28B,수증기 또는 증기응축기
F28C,열교환매체가 상호 화학작용을 하지 않고 직접 접촉하는 열교환장치로 다른 서브클래스로 분류되지 않는 것
F28D,열교환매체가 직접접촉하지 않는 열교환 장치로 다른 서브클래스로 분류 되지 않는 것
F28F,일반적인 열 교환 또는 열전달장치의 세부
F28G,열교환관 또는 열전달관
F41A,소화기와 대포 등의 화기에 공통되는 기능적 특징 또는 세부; 소화기 또는 대포용 총포가
F41B,폭발성 또는 연소성 추진 장약을 사용하지 않는 미사일 발사용 무기; 달리 분류되지 않는 무기
F41C,소형화기
F41F,포신으로부터 투사체 또는 미사일을 발사하기 위한 장치
F41G,무기용 조준기; 조준
F41H,장갑; 장갑포탑; 장갑차량 또는 병장차(兵裝車); 공격 또는 방어의 수단일반
F41J,표적; 사격장; 탄알받이
F42B,장약
F42C,탄약 신관
F42D,폭파
F99Z,이 섹션 중에서 그 밖에 분류되지 않는 주제 사항
G01B,"길이, 두께 또는 유사한 직선치의 측정; 각도의 측정; 면적의 측정; 표면 또는 윤곽의 불규칙성 측정"
G01C,"거리, 수평, 방위의 측정; 측량; 항법; 자이로스코프 기기; 사진측량 또는 영상측량"
G01D,특정변량을 위해서 특별히 적용되지 않는 측정; 단일의 다른 서브클래스에 속하지 않는 그 이상의 변량을 측정하는 장치; 요금계량장치;특정변량을 위해서 특별히 적용되지 않는 설비의 이동 또는 도입; 달리 분류되지 않는 측정 또는 시험
G01F,"체적. 체적유량, 질량유량 또는 액위측정; 체적에 의한 계량"
G01G,중량 측정
G01H,"기계적 진동 또는 초음파, 음파 또는 아음파의 측정"
G01J,"적외선, 가시광선 또는 자외선의 강도, 속도, 스펙트럼, 편광 또는 위상 또는 펄스의 측정; 색의 측정; 방사온도측정"
G01K,온도의 측정; 열량의 측정; 달리 속하지 않는 감온소자
G01L,"힘, 토오크, 일, 기계적 동력, 기계적 효율 또는 유체압력의 측정"
G01M,기계 또는 구조물의 정적 또는 동적 평형시험; 달리 분류되지 않는 구조물 또는 장치의 시험
G01N,재료의 화학적 또는 물리적 성질의 검출에 의한 재료의 조사 또는 분석
G01P,"직선속도, 각속도, 가속도, 감속도 또는 충격의 측정; 운동의 유무; 운동의 방향 지시"
G01Q,스캐닝 프로브 기술 혹은 장치; 스캐닝 프로브 기술의 적용
G01R,전기변량의 측정; 자기변량의 측정
G01S,무선에 의한 방위결정; 무선항행; 무선전파의 사용에 의한 거리 또는 속도의 결정; 무선전파의 반사 또는 재방사의 사용에 의한 위치 또는 유무의 탐지; 기타의 파류를 사용하는 유사한 방식
G01T,원자핵 방사선 또는 X선의 측정
G01V,지구물리; 중력측정; 질량 또는 대상물의 검출; 태그스(TAGS)
G01W,기상학
G02B,"광학요소, 광학계 또는 광학장치"
G02C,안경; 선글래스 또는 안경과 같은 성질을 가진 보호안경; 콘택트 렌즈
G02F,"광의 강도, 색, 위상, 편광 또는 방향의 제어를 위한 장치 또는 배치"
G03B,사진을 촬영하기 위하여 또는 사진을 투영하여 직시하기 위한 장치 또는 배치; 광파 이외의 파를 사용하는 유사기술을 사용하는 장치 또는 배치; 그것을 위한 부속물
G03C,사진용 감광재료; 사진법
G03D,"노광필 사진재료의 처리장치, 그 용구"
G03F,사진제판법에 의한 요철화 또는 패턴화 표면의 제조
G03G,일렉트로그래피; 전자사진; 마그네토그래피
G03H,홀로그래픽 처리 또는 장치
G04B,"기계적 구동의 시계 또는 휴대시계; 시계 또는 휴대시계의 기계적 부분일반; 태양, 달 또는 별의 위치를 이용한 시계"
G04C,전기기계시계 또는 휴대전기기계시계
G04D,시계나 휴대시계의 제작 또는 유지하기 위하여 특별히 설계된 장비 또는 공구
G04F,시간간격의 측정
G04G,전자시계
G04R,무선 제어 시계
G05B,제어계 또는 조정계 일반; 이와 같은 계의 기능요소; 이와 같은 계 또는 요소의 감시 또는 시험장치
G05D,비전기적 변량의 제어 또는 조정계
G05F,전기적 또는 자기적 변량의 조정계 
G05G,기계적 구성에만 특징이 있는 제어장치 제어계
G06C,모든 계산이 기계적으로 행하여지는 디지털 컴퓨터
G06D,디지털 유체압 계산장치
G06E,광학 계산 장치
G06F,전기에 의한 디지털 데이터처리
G06G,아날로그 컴퓨터
G06J,하이브리드 컴퓨터
G06K,데이터의 인식; 데이터의 표시; 기록매체; 기록매체의 취급
G06M,계수메커니즘; 다른 방식으로는 분류되지 않는 계수
G06N,특정 계산모델 방식의 컴퓨터시스템
G06Q,"관리용, 상업용, 금융용, 경영용, 감독용 또는 예측용으로 특히 적합한 데이터 처리 시스템 또는 방법; 그 밖에 분류되지 않는 관리용, 상업용, 금융용, 경영용, 감독용 또는 예측용으로 특히 적합한 시스템 또는 방법 "
G06T,"이미지 데이터 처리 또는 발생, 일반"
G07B,"표 발매 기기; 택시미터; 하나 이상의 제어점에서 요금, 통행료 또는 입장요금 징수를 위한 장치; 우편요금기기"
G07C,"시간 또는 출석 등록; 기계 작업 등록 또는 표시; 난수의 발생; 투표 또는 추첨장치; 다른 개소에 속하지 않는 검사를 위한 배열, 시스템(system) 또는 장치"
G07D,동전이나 지폐의 취급
G07F,동전투입식 작동장치 및 유사장치
G07G,"현금, 귀중품 또는 명목화폐의 수취를 등록"
G08B,신호 또는 호출시스템; 지령발신장치; 경보 시스템
G08C,"측정치, 제어신호 또는 유사신호를 위한 전송방식"
G08G,교통제어시스템
G09B,교육용 또는 교시용의 기구; 맹인 또는 농아자와의 의사를 소통하기 위한 교습용기구; 모형; 유성의; 지구의; 지도; 도표
G09C,암호 또는 비밀의 필요성을 포함하는 다른 목적을 위한 암호화 또는 암호해독장치
G09D,철도 또는 이에 유사한 것의 시각표 또는 요금표; 만년캘린더
G09F,표시; 광고; 사인; 라벨 또는 명찰; 시일
G09G,정적수단을 사용하여 가변정보를 표시하는 표시장치의 제어를 위한 장치 또는 회로
G10B,"오르간, 풍금(Harmonium) 또는 관련된 송풍 기구를 갖는 유사한 기명악기 "
G10C,"피아노, 하프시코드(harpsichord), 소형 피아노(spinets) 또는 하나 이상의 건반을 가지는 유사한 현악기"
G10D,현악기; 기명악기; 아코디언 또는 콘서티나(concertina); 타악기; 에올리언 하프; 노래 불꽃 악기; 달리 분류되지 않는 악기
G10F,자동악기
G10G,음악 표현; 악보 형식으로 음악 녹음 달리 제공되지 않는 음악 또는 음악 악기 용 액세서리
G10H,전기악기; 전기기계적 수단 또는 전기적 발생기에 의해 생성된 음 또는 데이터저장체로부터 합성된 음의 악기
G10K,음을 발생하는 장치
G10L,음성분석 또는 합성; 음성 인식; 음성(speech) 또는 음성(voice) 처리; 음성(speech) 또는 오디오(audio) 부호화 또는 복호화
G11B,기록매체와 변환기 사이의 상대적인 운동을 기본으로 하는 정보저장
G11C,정적기억
G12B,달리 분류되지 않는 기계의 구성적 세부 또는 기타의 장치에 유사한 세부
G16B,"생물정보학, 즉. 컴퓨터 분자 생물학에서 유전자 또는 단백질-관련 데이터 처리에 특히 적합한 정보통신기술[ICT]"
G16C,컴퓨터 화학; 화학정보학; 컴퓨터 재료 과학
G16H,"헬스케어 인포매틱스, 즉. 의료 또는 건강 관리 데이터의 취급 또는 처리에 특히 적합한 정보통신 기술"
G16Y,사물 인터넷 [IoT]에 특히 적합한 정보 및 통신 기술
G16Z,달리분류되지 않는 특정 응용 영역에 특히 적합한 정보 통신 기술
G21B,핵융합로
G21C,원자로
G21D,원자력 발전소
G21F,"X선, 감마(gamma)선, 미립자선 또는 입자충격에 대한 보호; 방사능 오염물질의 처리; 오염제거장치"
G21G,화학원소의 변환; 방사선원 
G21H,방사선원으로부터의 에너지 취득; 방사선원으로부터의 방사선의 응용; 우주선의 이용
G21J,핵폭발; 그 이용
G21K,핵공학
G99Z,이 섹션 내에서 그 밖에 분류되지 않는 주제사항
H01B,"케이블; 도체; 절연체; 도전성, 절연성 또는 유전성 특성에 대한 재료의 선택"
H01C,저항기
H01F,자석; 인덕턴스(Inductance); 변성기; 자기특성을 위한 재료의 선택
H01G,"콘덴서; 전해용 콘덴서, 정류기, 검파기, 개폐장치 감광장치 또는 감온장치"
H01H,전기적스위치; 계전기; 셀렉터(selector); 비상보호장치
H01J,전자관 또는 방전램프
H01K,백열램프
H01L,반도체 장치; 다른 곳에 속하지 않는 전기적 고체 장치
H01M,화학에너지를 전기에너지로 직접 변환하기 위한 방법 또는 수단
H01P,"도파관; 도파관형의 공진기, 선로 또는 기타장치"
H01Q,"안테나, 즉. 라디오 공중선"
H01R,도전접속; 복수의 다중-절연된 전기접속부의 구조적 결합; 결합장치; 집전장치
H01S,광을 증폭 또는 생성하기 위해 복사의 유도 방출[레이저]에 의한 광 증폭 프로세스를 이용한 장치; 광학 이외의 파동 범위에서 전자기 방사의 유도 방출을 이용한 장치
H01T,스파크 갭; 스파크 갭을 사용한 과전압피뢰기; 스파크 플러그; 코로나 장치; 비밀폐 가스로의 이온 발생
H02B,"전력의 공급 또는 배치 또는 배전을 위한 반, 변전소, 또는 개폐장치"
H02G,"전기케이블 또는 전선, 또는 광 및 전기케이블 또는 전선의 결합체의 설치"
H02H,비상보호회로장치
H02J,전력급전 또는 전력배전을 위한 회로 장치 또는 시스템; 전기에너지를 저장하기 위한 시스템
H02K,회전-전기 기계
H02M,"교류-교류, 교류-직류 또는 직류-직류변환장치 및 주요한 또는 유사한 전력공급장치와 함께 사용하기 위한 장치; 직류 또는 교류입력의 서지 출력변환; 그것을 제어 또는 조정"
H02N,타류에 속하지 않는 전기
H02P,"전동기, 발전기, 회전변환기의 제어 또는 조정; 변압기 또는 리액터(Reactors) 또는 초크코일(Choke coil)의 제어"
H02S,"적외선, 가시광선 또는 자외선의 변환에 의한 전력의 발생, 예. 광전지[PV] 모듈을 이용하는 것"
H03B,"진동의 발생, 직접 또는 주파수 변조에 의한 진동의 발생, 스위칭 동작을 하지 않는 능동소자를 사용한 회로에 의한 진동의 발생; 이와 같은 회로에 의한 잡음의 발생 "
H03C,변조
H03D,하나의 반송파로부터 타반송파에의 복조 또는 변조의 변환
H03F,증폭기
H03G,증폭기의 제어
H03H,"임피던스회로망, 예. 공진회로; 공진기"
H03J,동조공진회로; 선택공진회로
H03K,펄스(PULSE)기술
H03L,"전자적 진동 또는 펄스발생기의 자동제어, 기동, 동기 또는 안정화"
H03M,복호화 또는 부호변환 일반
H04B,전송
H04H,방송통신
H04J,다중통신
H04K,비밀통신; 통신방해
H04L,디지털 정보의 전송
H04M,전화통신
H04N,화상통신
H04Q,선택
H04R,"확성기, 마이크로폰, 축음기 픽업(pick up) 또는 유사한 음향전기기계변환기; 보청기; 방성장치(public Address system)"
H04S,스테레오 시스템
H04W,무선 통신 네트워크
H05B,"	전기가열; 달리 분류되지 않는 전기조명"
H05C,"생물을 살해, 기절, 포위, 또는 유도하기 위하여 사용되는 장치에 특별히 설계된 전기회로 또는 전기장치"
H05F,"	정전기; 자연적으로 발생하는 전기"
H05G,X선 기술
H05H,플라스마(Plasma) 기술
H05K,인쇄 회로; 전기 장치의 케이싱 또는 구조적 세부; 전기 부품 조립체의 제조
H99Z,이 섹션 내에서 그 밖에 분류되지 않는 주제사항
H10N,열변환소자
G06V,컴퓨터비전
